nombre,lat,lon,loc,scale,shp
Guira_de_Melena, 22.8, 277.5, 6.6414, 15.2293, 0.197365
Santiago_de_las_Vegas, 22.95, 277.6, 6.30569, 14.6491, 0.193298
Bainoa, 23.05, 278.1, 6.06008, 14.2286, 0.190231
Casablanca, 23.15, 277.65, 6.35693, 14.4232, 0.194588
La_Palma, 22.75, 276.45, 6.90902, 15.0277, 0.20282
Paso_Real_de_San_Diego, 22.55, 276.7, 7.04779, 15.5256, 0.203766
Batabano, 22.7, 277.7, 6.69782, 15.4219, 0.197929
Santa_Fe, 21.75, 277.25, 8.15746, 17.6626, 0.213676
Pinar_del_Rio, 22.4, 276.3, 7.32656, 15.6248, 0.207512
Bahia_Honda, 22.9, 276.85, 6.84561, 15.0525, 0.201508
Cabo_de_San_Antonio, 21.85, 275.05, 7.16614, 15.8603, 0.204193
Punta_del_Este, 21.55, 277.45, 8.50087, 18.2398, 0.216797
